Destination,Spreadsheet row number,Final rating,Number of reviews analyzed,Sources,Date range,Confidence level,Sentiment and platform scores,Reason for any missing result
Bogotá,2,7.8,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.47, S_plat=0.75",
Medellin,3,8.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.65, S_plat=0.81",
Mexico city,4,8.7,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.75, S_plat=0.86",
Lima,5,7.9,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.52, S_plat=0.76",
Cusco,6,9.1,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.84, S_plat=0.92",
Chongqing,7,8.4,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.69, S_plat=0.81",
Santiago (Chile),8,7.6,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.44, S_plat=0.73",
San José (Costa Rica),9,6.7,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.22, S_plat=0.64",
Krakow,10,9.0,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.82, S_plat=0.91",
Guilin,11,8.6,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.72, S_plat=0.85",
Kerala,12,8.9,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.80, S_plat=0.89",
Nagoya,13,7.7,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.46, S_plat=0.78",
Saigon,14,8.4,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.68, S_plat=0.83",
Sapporo,15,8.6,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.73, S_plat=0.86",
Tallinn,16,8.8,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.77, S_plat=0.89",
Kathmandu,17,7.8,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.49, S_plat=0.76",
Cebu City,18,7.5,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.41, S_plat=0.73",
KK (Kota Kinabalu),19,7.9,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.53, S_plat=0.77",
Oslo,20,8.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.65, S_plat=0.83",
Reykjavik,21,8.7,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.74, S_plat=0.88",
Vancouver,22,8.8,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.76, S_plat=0.89",
Johannesburg,23,7.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.35, S_plat=0.70",
Cape Town,24,9.2,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.86, S_plat=0.93",
La Paz,25,7.9,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.52, S_plat=0.76",
San Juan,26,8.3,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.65, S_plat=0.83",
Algiers,27,7.4,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.38, S_plat=0.71",
Kunming,28,8.0,50,"Google Maps, TripAdvisor",Feb 2024 - Feb 2026,High,"S_sent=0.56, S_plat=0.79",
Okinawa,29,8.7,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.75, S_plat=0.87",
Mallorca,30,8.8,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.78, S_plat=0.89",
Mumbai,31,8.0,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.55, S_plat=0.80",
Denpasar,32,7.0,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.28, S_plat=0.69",
Bilbao,33,8.6,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.72, S_plat=0.86",
Seville,34,9.2,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.87, S_plat=0.94",
Haiphong,35,7.4,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.39, S_plat=0.71",
Phu Quoc,36,8.0,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.57, S_plat=0.79",
Malaga,37,8.7,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.74, S_plat=0.88",
Helsinki,38,8.4,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.67, S_plat=0.84",
Can Tho,39,7.7,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.47, S_plat=0.75",
Izmir,40,8.1,50,"Google Maps, TripAdvisor",Jan 2024 - Feb 2026,High,"S_sent=0.59, S_plat=0.80",
